epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5255.49,0.81772,0.41046,0.80711,0.79659,0.53873,0.61234,0.42001,0.75909,0.36814,0.80025,0.005842,0.005842,0.005842
44,5374.9,0.81861,0.40959,0.80606,0.78383,0.55132,0.61656,0.42297,0.75675,0.36613,0.79984,0.005743,0.005743,0.005743
45,5493.9,0.81657,0.40913,0.80553,0.77861,0.54786,0.61427,0.42142,0.75553,0.3672,0.79909,0.005644,0.005644,0.005644
46,5614.92,0.81207,0.4063,0.80644,0.78418,0.54587,0.61852,0.42574,0.75037,0.36407,0.79875,0.005545,0.005545,0.005545
47,5739.44,0.81207,0.40697,0.80609,0.79136,0.54274,0.618,0.42361,0.75153,0.36184,0.79915,0.005446,0.005446,0.005446
48,5858.95,0.80802,0.40331,0.80508,0.77806,0.54636,0.62157,0.42784,0.7489,0.36189,0.79877,0.005347,0.005347,0.005347
49,5978.55,0.80641,0.40215,0.80427,0.79406,0.54295,0.62065,0.42738,0.7474,0.35917,0.79861,0.005248,0.005248,0.005248
50,6098.36,0.80153,0.4,0.80493,0.78263,0.55142,0.62056,0.42871,0.74359,0.35941,0.79857,0.005149,0.005149,0.005149
51,6217.92,0.80411,0.4006,0.80551,0.78714,0.54795,0.62165,0.42981,0.7411,0.35828,0.79743,0.00505,0.00505,0.00505
52,6337.58,0.7971,0.39666,0.80501,0.78177,0.55245,0.62281,0.43107,0.74017,0.35637,0.79786,0.004951,0.004951,0.004951
53,6457.06,0.79688,0.39583,0.80307,0.7832,0.55643,0.62588,0.43237,0.73946,0.35468,0.79737,0.004852,0.004852,0.004852
54,6580.92,0.79523,0.39367,0.80398,0.79266,0.54901,0.62471,0.43209,0.73947,0.35393,0.79814,0.004753,0.004753,0.004753
55,6740.55,0.79094,0.39225,0.80342,0.80232,0.54541,0.62604,0.43409,0.73635,0.3523,0.79722,0.004654,0.004654,0.004654
56,6899.56,0.79068,0.39322,0.80274,0.78756,0.55067,0.6251,0.43305,0.7369,0.35223,0.79706,0.004555,0.004555,0.004555
57,7058.41,0.78958,0.39159,0.8018,0.79436,0.54821,0.62544,0.43355,0.7355,0.35178,0.79703,0.004456,0.004456,0.004456
58,7188.99,0.77937,0.38761,0.80277,0.78289,0.5514,0.62601,0.43579,0.73182,0.35061,0.7963,0.004357,0.004357,0.004357
59,7312.31,0.78671,0.38863,0.80156,0.78861,0.55215,0.6267,0.4371,0.73057,0.34866,0.79604,0.004258,0.004258,0.004258
60,7437.65,0.77964,0.3865,0.80094,0.78193,0.55183,0.626,0.43768,0.72771,0.34931,0.79561,0.004159,0.004159,0.004159
61,7579.13,0.77292,0.38471,0.80048,0.79228,0.54891,0.62535,0.43706,0.72691,0.34917,0.79569,0.00406,0.00406,0.00406
62,7682.4,0.77091,0.38354,0.80179,0.78417,0.5546,0.62638,0.4389,0.72445,0.34809,0.79563,0.003961,0.003961,0.003961
63,7772.68,0.77301,0.38338,0.79966,0.79017,0.55324,0.6277,0.439,0.72439,0.34704,0.7958,0.003862,0.003862,0.003862
64,7864.23,0.76898,0.38296,0.80188,0.78685,0.55469,0.62856,0.43971,0.72166,0.34549,0.79502,0.003763,0.003763,0.003763
65,7956.83,0.76357,0.37875,0.79983,0.79203,0.55765,0.63002,0.43992,0.72025,0.34385,0.79482,0.003664,0.003664,0.003664
66,8046.78,0.76295,0.37831,0.8003,0.78915,0.56003,0.63185,0.44089,0.71809,0.34354,0.79462,0.003565,0.003565,0.003565
67,8136.98,0.7569,0.37591,0.79893,0.79316,0.55531,0.63106,0.44037,0.71793,0.34434,0.79476,0.003466,0.003466,0.003466
68,8226.85,0.75902,0.37726,0.80059,0.7893,0.55604,0.63175,0.44134,0.71613,0.34224,0.79462,0.003367,0.003367,0.003367
69,8318.41,0.75339,0.37358,0.79888,0.79456,0.55492,0.6308,0.44225,0.71521,0.34093,0.79447,0.003268,0.003268,0.003268
70,8408.47,0.75068,0.37227,0.79952,0.79271,0.5571,0.63133,0.44269,0.71342,0.34022,0.79426,0.003169,0.003169,0.003169
71,8497.44,0.74716,0.3713,0.79836,0.79695,0.55433,0.63286,0.44332,0.71396,0.34012,0.79426,0.00307,0.00307,0.00307
72,8585.49,0.75232,0.37127,0.79916,0.79785,0.55518,0.6321,0.4436,0.71286,0.33924,0.79398,0.002971,0.002971,0.002971
73,8674.79,0.74246,0.36705,0.79764,0.79633,0.55568,0.63061,0.44292,0.71132,0.3387,0.79388,0.002872,0.002872,0.002872
74,8763.61,0.74201,0.36699,0.79738,0.7994,0.55689,0.63212,0.44413,0.71046,0.3381,0.79362,0.002773,0.002773,0.002773
75,8855.46,0.74023,0.36484,0.79735,0.79871,0.55572,0.63304,0.44527,0.70951,0.33843,0.79357,0.002674,0.002674,0.002674
76,8946.67,0.73749,0.3637,0.7961,0.79681,0.55674,0.63327,0.44559,0.7085,0.3378,0.79348,0.002575,0.002575,0.002575
77,9038.33,0.73351,0.363,0.7976,0.79355,0.55946,0.63348,0.44539,0.70858,0.33742,0.79343,0.002476,0.002476,0.002476
78,9129.27,0.73408,0.36026,0.79662,0.79331,0.55864,0.63378,0.44618,0.70789,0.3371,0.79333,0.002377,0.002377,0.002377
79,9217.87,0.73114,0.35887,0.79686,0.79125,0.55844,0.63326,0.44661,0.70736,0.33579,0.79328,0.002278,0.002278,0.002278
80,9306.53,0.7297,0.35934,0.79699,0.79113,0.56083,0.63349,0.44692,0.70738,0.33557,0.79318,0.002179,0.002179,0.002179
81,9395.67,0.72613,0.3581,0.79705,0.78872,0.5609,0.63353,0.4467,0.70712,0.33488,0.79318,0.00208,0.00208,0.00208
82,9484.26,0.72884,0.35753,0.79506,0.7926,0.55971,0.63452,0.44709,0.70698,0.335,0.79303,0.001981,0.001981,0.001981
83,9573.19,0.72648,0.35618,0.79662,0.79543,0.55972,0.6352,0.44776,0.70646,0.33517,0.79286,0.001882,0.001882,0.001882
84,9662.96,0.72397,0.35474,0.79695,0.79321,0.56188,0.6357,0.44879,0.70597,0.33375,0.79279,0.001783,0.001783,0.001783
85,9751.93,0.717,0.35043,0.79414,0.79603,0.55818,0.63556,0.44904,0.70574,0.3329,0.79276,0.001684,0.001684,0.001684
86,9840.42,0.71925,0.35246,0.79403,0.79379,0.56008,0.63586,0.44877,0.70622,0.33297,0.79274,0.001585,0.001585,0.001585
87,9929.56,0.71911,0.35223,0.79609,0.79674,0.56165,0.63698,0.44923,0.70532,0.33245,0.79268,0.001486,0.001486,0.001486
88,10018.4,0.711,0.34748,0.79426,0.79733,0.56291,0.63786,0.45063,0.70526,0.33259,0.79256,0.001387,0.001387,0.001387
89,10112.5,0.70984,0.34676,0.79377,0.79356,0.56412,0.63804,0.45073,0.70479,0.33255,0.79254,0.001288,0.001288,0.001288
90,10204.1,0.70543,0.34517,0.79408,0.79283,0.56402,0.63785,0.45086,0.70446,0.33227,0.79252,0.001189,0.001189,0.001189
91,10326.9,0.69913,0.33773,0.79121,0.79365,0.56209,0.63724,0.45059,0.70512,0.3322,0.79247,0.00109,0.00109,0.00109
92,10417.4,0.69595,0.33509,0.79122,0.79222,0.56222,0.63737,0.45123,0.70527,0.33222,0.7924,0.000991,0.000991,0.000991
93,10506.7,0.69215,0.33516,0.79063,0.79329,0.5628,0.63775,0.4512,0.7054,0.33206,0.79237,0.000892,0.000892,0.000892
94,10595.4,0.68736,0.33109,0.78899,0.79318,0.56233,0.63708,0.45113,0.70492,0.33182,0.79233,0.000793,0.000793,0.000793
95,10683.8,0.68612,0.32957,0.79058,0.79593,0.56136,0.63747,0.45134,0.70523,0.33166,0.79231,0.000694,0.000694,0.000694
96,10772.1,0.68169,0.32846,0.79014,0.79624,0.56187,0.63744,0.45127,0.70554,0.33219,0.79234,0.000595,0.000595,0.000595
97,10859.1,0.67824,0.32581,0.78886,0.79666,0.56091,0.63755,0.45152,0.7055,0.3322,0.79235,0.000496,0.000496,0.000496
98,10945.9,0.67714,0.32552,0.78833,0.79743,0.56185,0.63777,0.45139,0.70566,0.33224,0.79238,0.000397,0.000397,0.000397
99,11032.8,0.67355,0.32182,0.78804,0.79852,0.56131,0.63813,0.45155,0.70597,0.33243,0.79239,0.000298,0.000298,0.000298
100,11119.9,0.67069,0.32134,0.78799,0.80082,0.55907,0.63834,0.4515,0.7058,0.33234,0.79237,0.000199,0.000199,0.000199
